"","Entry","Yield","SE","CI_L","CI_U"
"218","MON201145-MON101065-MON101082-MON101068",183.924100001636,13.7546881398083,156.960457320672,210.887742682601
"219","MON201146-MON101065-MON101082-MON101068",178.405481895343,15.2552597386341,148.500232978259,208.310730812428
"220","MON201147-MON101065-MON101082-MON101068",181.874888663111,14.2724211553885,153.896321623677,209.853455702545
"221","MON201148-MON101065-MON101082-MON101068",176.106650001636,13.7546881398083,149.143007320672,203.070292682601
"222","MON201149-MON101065-MON101082-MON101068",190.447288663111,14.2724211553885,162.468721623677,218.425855702545
"223","MON201150-MON101065-MON101082-MON101068",182.088825001636,13.7546881398083,155.125182320672,209.052467682601
"224","MON201151-MON101065-MON101082-MON101068",178.520600001636,13.7546881398083,151.556957320672,205.484242682601
"225","MON201152-MON101065-MON101082-MON101068",186.987800001636,13.7546881398083,160.024157320672,213.951442682601
"226","MON201153-MON101065-MON101082-MON101068",206.778583801285,15.2552702629195,176.873314253193,236.683853349377
"227","MON201154-MON101065-MON101082-MON101068",187.472800001636,13.7546881398083,160.509157320672,214.436442682601
"228","MON201155-MON101065-MON101082-MON101068",168.915050001636,13.7546881398083,141.951407320672,195.878692682601
"229","MON201156-MON101065-MON101082-MON101068",194.352725001636,13.7546881398083,167.389082320672,221.316367682601
"230","MON201157-MON101065-MON101082-MON101068",180.586250001636,13.7546881398083,153.622607320672,207.549892682601
"231","MON201158-MON101065-MON101082-MON101068",192.186100539928,14.2724191474337,164.207537436735,220.16466364312
"232","MON201159-MON101065-MON101082-MON101068",186.748525001636,13.7546881398083,159.784882320672,213.712167682601
"233","MON201160-MON101065-MON101082-MON101068",176.488400001636,13.7546881398083,149.524757320672,203.452042682601
"234","MON201161-MON101065-MON101082-MON101068",177.343925001636,13.7546881398083,150.380282320672,204.307567682601
"235","MON201162-MON101065-MON101082-MON101068",200.166025001636,13.7546881398083,173.202382320672,227.129667682601
"236","MON201163-MON101065-MON101082-MON101068",172.512025001636,13.7546881398083,145.548382320672,199.475667682601
"237","MON201164-MON101065-MON101082-MON101068",193.430588663111,14.2724211553885,165.452021623677,221.409155702545
"238","MON201165-MON101065-MON101082-MON101068",186.079775001636,13.7546881398083,159.116132320672,213.043417682601
"239","MON201166-MON101065-MON101082-MON101068",166.449955329777,14.2724211553885,138.471388290343,194.428522369211
"240","MON201167-MON101065-MON101082-MON101068",199.079255329777,14.2724211553885,171.100688290343,227.057822369211
"241","MON201168-MON101065-MON101082-MON101068",178.288625001636,13.7546881398083,151.324982320672,205.252267682601
"242","MON201169-MON101065-MON101082-MON101068",176.226975001636,13.7546881398083,149.263332320672,203.190617682601
"243","MON201170-MON101065-MON101082-MON101068",180.338175001636,13.7546881398083,153.374532320672,207.301817682601
"244","MON201171-MON101065-MON101082-MON101068",188.622575001636,13.7546881398083,161.658932320672,215.586217682601
"245","MON201172-MON101065-MON101082-MON101068",186.690625001636,13.7546881398083,159.726982320672,213.654267682601
"246","MON201173-MON101065-MON101082-MON101068",189.669675001636,13.7546881398083,162.706032320672,216.633317682601
"247","MON201174-MON101065-MON101082-MON101068",181.089850001636,13.7546881398083,154.126207320672,208.053492682601
"248","MON201175-MON101065-MON101082-MON101068",198.58864486754,14.2724192626335,170.610081538519,226.567208196562
"249","MON201176-MON101065-MON101082-MON101068",190.449050001636,13.7546881398083,163.485407320672,217.412692682601
