factor1,absoluteRange,absoluteColumn,locationID,repId,response
"MON201291,MON101065,MON101082,MON101068",1,1,ARJO,1,180.8715
"MON201290,MON101065,MON101082,MON101068",1,1,ARJO,1,166.8891
"MON201289,MON101065,MON101082,MON101068",1,1,ARJO,1,180.1845
"MON201288,MON101065,MON101082,MON101068",1,1,ARJO,1,168.0706
"MON201594,MON101065,MON101082,MON101068",1,1,ARJO,1,179.3455
"MON201595,MON101065,MON101082,MON101068",1,1,ARJO,1,181.4293
"MON201596,MON101065,MON101082,MON101068",1,1,ARJO,1,180.0536
"MON201597,MON101065,MON101082,MON101068",1,1,ARJO,1,182.1082
"MON201598,MON101065,MON101082,MON101068",1,1,ARJO,1,172.8787
"MON201599,MON101065,MON101082,MON101068",1,1,ARJO,1,183.3411
"MON201601,MON101065,MON101082,MON101068",1,1,ARJO,1,196.5601
